abatiste;abatites
diferí;diferi
diferías;diferias
dificaí;difikai
dificil;difisil
dificultad;difikultad
difundiste;difundites
difundí;difundi
difundías;difundias
difunta;defunktoa
difunto;defunkto
difusión;difuzyon
difícil;difisil
digerí;didjeri
digerías;didjerias
digitalizaí;didjitalizai
dignidad;dinyidad
diluí;dilui
diluías;diluias
dimitiréis;dimitiresh
dimitiste;dimitites
dimití;dimiti
dimitías;dimitias
dinera;paraa
dinero;para
dinero;paras
dios;dio
dirección;adreso
directamente;direktamente
directo;direkto
dirigirseás;diridjirseas
dirigirsimos;diridjirsimos
dirigirsías;diridjirsias
dirigías;dirigias
disca;diska
discaí;diskai
discerní;disserni
discernías;dissernias
disco;disko
discontinuaí;diskontinuai
discriminaréis;diskriminaresh
discriminas;diskriminas
discriminaste;diskriminates
discriminé;diskrimini
disculpas;diskulpas
disculpaste;diskulpates
disculpé;diskulpi
discutiste;diskutites
discutías;diskutias
disecaí;disekai
disentías;disentias
diseñaste;disenyates
diseño;disenyo
disimulaste;disimulates
disimulé;disimuli
dislocaí;dislokai
disminuí;disminui
disminuías;disminuias
disolví;disolvi
disolvías;disolvias
dispararse;despareserse
disparaste;disparates
disparidad;diferensioa
disputaste;disputates
disputé;disputi
distinguo;distingo
distinguí;distingi
distinguías;distingias
distraí;distrai
distribuí;distribui
distribuías;distribuias
divertías;divertias
dividiste;dividites
dividías;dividias
divisaste;divisates
divorcias;divorsias
divorciaste;divorsiates
divorcio;divorsio
doblaste;doblates
doce;dodje
doctor;doktor
dolaí;dolai
dolerseá;dolersea
dolerseán;dolersean
dolerseás;dolerseas
dolerseé;dolersee
dolersió;dolersio
dolersí;dolersi
dolersías;dolersias
domesticaí;domestikai
dominaste;dominates
domingo;Alhad
domingos;Alhades
dominia;dominasioa
dominio;dominasion
dominé;domini
doméstico;domestiko
don;musyu
donaste;donates
donde;de ande
doné;doni
dormitorio;kam. de echar
doscientos;dozientos
dote;dota
doña;madam
dragaí;dragai
drogaí;drogai
ducharse;tomar dush
duda;dubio
dudaste;dudates
duelo;dolio
dueño;proprietario
dulce;dulse
duración;durasion
duraste;durates
débil;flako
día;dia
dó;do
dólar;dolar
edicta;dekreta
edicto;dekreto
edificaí;edifikai
editaste;editates
educaí;edukai
educí;educi
educías;educias
efecta;efekta
efecto;efekto
efectuaí;efektuai
egoísta;egoisto
ejecutaste;ejekutates
ejemplar;egzemplar
ejemplo;egzemplo
ejercicia;egzersia
ejercicio;egzersis
ejercitaste;ejersitates
ejercito;ejersito
ejercité;ejersiti
ejercías;ejersias
ejército;armada
elaboraste;elaborates
elección;eleksion
electricidad;elektrisita
electrodoméstica;intrumiento de kaza
electrodoméstico;intrumiento de kaza
elege;eledje
eleges;eledjes
elegías;elegias
elevaste;elevates
elevé;elevi
ellos;eyos
embajador;ambasador
embarasada;prenyada
embarrancaí;embarrankai
embaí;embai
embellecías;embeyesias
emboscaí;emboskai
embriagaí;embriagai
embrutecí;embrutesi
embrutecías;embrutesias
emergerás;emerdjeras
emergí;emerdji
emergías;emerdjias
empacarseá;empakarsea
empacarseás;empakarseas
empacarsimos;empakarsimos
empacarsí;empakarsi
empacarsías;empakarsias
empacaí;empakai
empellerás;empeyeras
empellí;empeyi
empellías;empeyias
emperador;imperador
emperraí;emperrai
empeño;empenyo
empleado;empiegado
empobrecí;empobresi
empobrecías;empobresias
empodrecí;empodresi
empodrecías;empodresias
empresa;entreprisa
empresaria;direktoa
empresario;direktor
enaltecí;enaltesi
enaltecías;enaltesias
enardecí;enadresi
enardecías;enadresias
encaje;dantela
encanto;echizo
encarecí;enkaresi
encarecías;enkaresias
encende;ensende
encendes;ensendes
encendidas;asendidas
encendo;ensendo
encendías;ensendias
encerraí;enserrai
enciclopedia;ansiklopedia
encogí;enkodji
encogías;enkodjias
encontrarse;enkontrarse
encuesta;anketa
endrogarseá;endrogarsea
endrogarseán;endrogarsean
endrogarseás;endrogarseas
endrogarseé;endrogarsee
endrogarsió;endrogarsio
endrogarsí;endrogarsi
endrogarsías;endrogarsias
endulzaí;endulzai
endurecí;enduresi
endurecías;enduresias
energía;enerjia
enero;jenero
enfadado;arraviado
enfadarse;arraviarse
enfadaste;enfadates
enfatuarseá;enfatuarsea
enfatuarseás;enfatuarseas
enfatuarsí;enfatuarsi
enfatuarsías;enfatuarsias
enferma;hazina
enfermedad;hazinura
enfermería;enfirmeria
enfermo;hazino
enflaquecí;enflakesi
enflaquecías;enflakesias
enfocaí;enfokai
enfrascarseá;enfraskarsea
enfrascarseán;enfraskarsean
enfrascarseás;enfraskarseas
enfrascarseé;enfraskarsee
enfrascarsimos;enfraskarsimos
enfrascarsió;enfraskarsio
enfrascarsí;enfraskarsi
enfrascarsía;enfraskarsia
enfrascarsías;enfraskarsias
enfrascaí;enfraskai
enfriaí;enfriai
enfurecí;enfuresi
enfurecías;enfuresias
engancharás;engankaras
enganchaste;engankates
engaño;enganyo
engañé;enganyi
engordaste;engodrates
engrasaste;engrasates
engrasé;engrasi
engrosaí;engrosai
engrí;engri
engrías;engrias
engullí;engyi
engullías;engyias
enhebras;enebras
enhebraste;enebrates
enhebro;enebro
enjalbegaí;enjalbegai
enjoyado;yeno de djoya
enlenzaí;enlenzai
enloquecerseá;enlokesersea
enloquecerseán;enlokesersean
enloquecerseás;enlokeserseas
enloquecersimos;enlokesersimos
enloquecersías;enlokesersias
enloqueces;enlokeses
enloqueco;enlokeko
enloquecí;enlokeci
enloquecías;enlokecias
enlucí;enluci
enlucías;enlucias
enmohecí;enmoesi
enmohecías;enmoesias
enmudecí;enmudesi
enmudecías;enmudesias
ennegrecí;ennegresi
ennegrecías;ennegresias
ennoblecí;ennoblesi
ennoblecías;ennoblesias
enojaste;enojates
enojo;sehora
enorgullecías;enorgyesias
enredaste;enredates
enredé;enredi
enriquecí;enrikesi
enriquecías;enrikesias
enrocaí;enrokai
enrojecí;enrojesi
enrojecías;enrojesias
ensalada;salata
ensanchas;ensankas
ensanchaste;ensankates
ensancho;ensanko
ensanché;ensanki
ensayaste;ensayates
ensayos;provas
ensayé;ensayi
enseguida;pishin
ensombrecí;ensombresi
ensombrecías;ensombresias
ensordecí;ensodresi
ensordecías;ensodresias
ensucias;ensusias
ensuciaste;ensusiates
ensucio;ensusio
ensucié;ensusii
entendías;entendias
enterarse;informarse
enternecí;enternesi
enternecías;enternesias
entierro;enterramiento
entonces;alora
entorpecí;entorpesi
entorpecías;entorpesias
entrañas;entranyas
entrañaste;entranyates
entraño;entranyo
entrañé;entranyi
entregé;entrege
entrenaste;entrenates
entreoí;entreoi
entreoías;entreoias
entreoírás;entreoiras
entrevení;entreveni
entrevenías;entrevenias
entrevistaste;entrevistates
entreví;entrevi
entrevías;entrevias
entristecías;entristesias
entusiasmarás;entusiasmaras
entusiasmaste;entusiasmates
entusiasmo;entuziasmo
entusiasmé;entusiasmi
envejecerseá;envejesersea
envejecerseás;envejeserseas
envejecersías;envejesersias
envejecí;envejesi
envejecías;envejesias
envergonzaí;envergonzai
envidia;embidia
envidiaste;envidiates
envidié;envidii
envolvías;envolvias
enyegüecí;enyeguesi
enyegüecías;enyeguesias
equipaje;bagaje
equivalerás;ekivaleras
equivalí;ekivali
equivalías;ekivalias
equivocarse;yerrarse
erguí;ergi
erigí;erigi
erigías;erigias
erradicaí;erradikai
erraí;errai
error;falta
esa;esta
escala;eskala
escalafón;grado
escalas;eskalas
escalaste;eskalates
escalera;eskalera
escalo;eskalo
escalé;eskali
escalón;eskalon
escandalizaí;eskandalizai
escaparate;vitrina
escapaste;eskapates
escarmentaí;eskarmentai
escena;shena
esclarecí;eslaresi
esclarecías;eslaresias
escocí;eskosi
escogo;eskogo
escogías;eskogias
esconderse;eskonderse
escondido;eskondido
escondiste;eskondites
escondéis;eskondesh
escondías;eskondias
escopeta;tufenk
escuela;eskola
escupes;eskupes
escupiste;eskupites
escupí;eskupi
escupías;eskupias
esforzarse;esforsarse
esforzarse;perkurar
esfuerzo;esforso
eslí;esli
eslías;eslias
eslírás;esliras
esmirna;ezmirna
eso;este
espacia;espasia
espacio;espasio
esparcí;esparci
esparcías;esparcias
español;espanyol
especial;espesial
espectador;espektador
espectácula;espektakola
espectáculo;espektakolo
esperanza;esperansa
espiraste;espirates
espiré;espiri
esposa;mujer
esposa;mujer
esposo;marido
espárraga;asparaga
espárrago;asparago
esquematizaí;eskematizai
esquiaí;eskiai
esquina;punta
estaba;estava
estabilizaí;estabilizai
estableco;estableko
establecías;establecias
estacaí;estakai
estacionas;estasionas
estacionaste;estasionates
estaciono;estasiono
estacioné;estasioni
estación;sezon
estadounidense;amerikano/a
estallas;estayas
estallaste;estayates
estallé;estayi
estambul;Estambol
estambul;estambol
estambul;estanbol
estancarseá;estankarsea
estancarseán;estankarsean
estancarseás;estankarseas
estancarseé;estankarsee
estancarsimos;estankarsimos
estancarsí;estankarsi
estancarsías;estankarsias
estancaí;estankai
estanque;estanke
estará;estara
estarán;estaran
estatuaí;estatuai
esterilizaí;esterilizai
estilista;stilista
estimaste;estimates
estimulaste;estimulates
estimulé;estimuli
estimé;estimi
estiraste;estirates
estofado;abafado
estornudaste;estornudates
estornudé;estornudi
estregaí;estregai
estrella;estreya
estremecí;estremesi
estremecías;estremesias
estrenaste;estrenates
estres;stres
estresaste;estresates
estresé;estresi
estreñí;estrenyi
estreñías;estrenyias
estriaí;estriai
estropearse;estropiarse
estropeaste;estropeates
estropeé;estropei
estrés;stres
estudiante;elevo
estudiantes;elevos
está;esta
estábamos;estabamos
están;estan
estómago;estomago
etc;ets
europa;evropa
evadiste;evadites
evadí;evadi
evadías;evadias
evaluaí;evaluai
evangelizaí;evandjelizai
evitaste;evitates
evocaí;evokai
evolucionas;evolusionas
evolucionaste;evolusionates
evoluciono;evolusiono
evolucioné;evolusioni
exageraste;exadjerates
examen;egzamen
examinaste;examinates
excavas;exkavas
excavaste;exkavates
excavo;exkavo
excavé;exkavi
excelente;ekselente
excepción;eksepsion
excepto;ekseptado
excitas;exsitas
excitaste;exsitates
excité;exsiti
exclamaste;exclamates
excluí;exclui
excluías;excluias
excusa;ekskuza
excusa;exkusa
excusas;exkusas
exhibes;exibes
exhibiste;exibites
exhibí;exibi
exigías;exigias
exististe;existites
existí;existi
existías;existias
expatriaí;expatriai
expedí;expedi
expedías;expedias
experimentaste;experimentates
expiaí;expiai
expiraste;expirates
expiré;expiri
explicación;eksplikasion
exploraste;explorates
exploré;explori
explosión;eksplozion
explotaste;explotates
exploté;exploti
exportaste;exportates
exporté;exporti
exposición;ekspozision
expresaste;expresates
exprimiste;exprimites
exprimí;exprimi
exprimías;exprimias
expulsaste;expulsates
expulsé;expulsi
exquisito;delisiozo
extasiaí;extasiai
extendías;extendias
extenso;ancho
extinguí;extingi
extinguías;extingias
extranjera;ajena
extranjero;ajeno
extraviaí;extraviai
extraí;extrai
extraña;extranya
extrañas;extranyas
extrañaste;extranyates
extraño;estranyo
extraño;extranyo
fabricaí;fabrikai
facilitaste;fasilitates
facilité;fasiliti
factura;faktura
facturas;fakturas
facturaste;fakturates
facturé;fakturi
faena;mision
falda;fusta
fallas;fayas
fallecimienta;muerta
fallecimiento;muerte
fallo;fayo
falsificaí;falsifikai
faltaste;faltates
familia;famiya
famoso;famozo
fantástica;maraviya
fantástico;fantastiko
farmacia;farmasiya
fascinas;fassinas
fascinaste;fassinates
fasciné;fassini
fascista;fashisto
fastidioso;fastidiozo
fatigé;fatige
favorecí;favoresi
favorecías;favoresias
faz;kara
fecha;data
felices;felizes
felicidad;felisida
felicidad;felisidad
felicitas;felisitas
felicitaste;felisitates
feliz;kontente
fenecí;fenesi
fenecías;fenesias
festejaste;festejates
festejé;festeji
fiaí;fiai
ficaí;fikai
fiebre;kayentura
fiesta;parti
figuras;figras
figuraste;figrates
figuré;figri
fijarse;aperseverse
fijo;fiks
fila;sira
filmaste;filmates
filosofaste;filosofates
filosofé;filosofi
filosofía;filozofia
filtraste;filtrates
filtré;filtri
finalizaí;finalizai
financias;finansias
financiaste;finansiates
financio;finansio
fingí;fingi
fingías;fingias
firma;sinyatura
fiscal;djuzgo
fiscalizaí;fiskalizai
flaco;flako
flan;krem karamek
flirteaste;flirteates
flirteé;flirtei
flor;roza
florero;vazo
flores;rozas
florista;floristo
flotaste;flotates
floté;floti
fluí;flui
fluías;fluias
folleto;broshura
fomentaste;fomentates
fomenté;fomenti
fonda;motel
formulaste;formulates
fosforecías;fosforesias
fosilizarseás;fosilisarseas
fosilizarsimos;fosilisarsimos
fosilizarsía;fosilisarsia
fosilizarsías;fosilisarsias
fotografiaí;fotografiai
fotografía;fotografia
fracasaste;frakasates
fracaso;frakaso
fraguaí;fragai
francés;fransez
frase;fraza
fregé;frege
frenaste;frenates
frené;freni
fresco;fresko
freí;frei
freías;freias
frontera;frontiera
frotaste;frotates
froté;froti
fructificaí;fruktifikai
fruncí;frunci
fruncías;fruncias
frustraste;frustrates
frutal;de fruta
frutera;frutiera
frutero;frutiera
frutería;frutero
fría;fria
fría;yelada
fríjol;chaucha
frío;frio
frío;yelado
fuera;afuera
fugarseá;fugarsea
fugarseán;fugarsean
fugarseás;fugarseas
fugarseé;fugarsee
fugarsí;fugarsi
fugarsías;fugarsias
fugaí;fugai
fumaste;fumates
funcionaste;funsionates
funcioné;funsioni
función;fonksion
fundación;fondasion
fundaste;fundates
fundiste;fundites
fundí;fundi
fundías;fundias
fusionaste;fusionates
fusioné;fusioni
fuñí;funyi
fuñías;funyias
fácil;fasil
fácilmente;kolay
fútbol;futbol
gabinete;kamareta de estudio
gafas;antojos
galla;gaya
gallardía;gayardiya
gallina;gayina
gallinera;gayinera
gallinero;gayinero
gallo;gayo
ganadería;trupa de bestia
gandul;haragan
ganduleaste;ganduleates
ganduleé;gandulei
garantí;garanti
garantía;garantia
garantías;garantias
garganta;garon
gargarizaí;gargarizai
gas;umo
gaseosa;gazoza
gasificaí;gasifikai
gasolina;benzin
gasolinera;estasion de benzin
gañí;ganyi
gañías;ganyias
gelificarseás;djelifikarseas
gelificarsimos;djelifikarsimos
gelificarsí;djelifikarsi
gelificarsías;djelifikarsias
gemí;djemi
gemías;djemias
generación;jenerasion
generalizaí;djeneralizai
generaste;djenerates
genero;djenero
generoso;jenerozo
gente;djente
gente;persona
geranio;jeraniom
gesta;djesta
gestionaste;djestionates
gestioné;djestioni
gesto;djesto
gira;djira
giras;djiras
giraste;djirates
giro;djiro
globalizaí;globalizai
gloriaí;gloriai
glorificaí;glorifikai
gobernador;governador
gobierno;governo
golpeaste;golpeates
gordo;godro
gordura;godrura
gorro;chapeo
gozaí;gozai
gracia;grasia
gracias;grasias
gracias;shukur
graduaí;graduai
gramática;gramer
gratificaí;gratifikai
gris;grizo
gruñí;grunyi
gruñías;grunyias
guardas;gadras
guarecí;garesi
guarecías;garesias
guarnecí;garnesi
guarnecías;garnesias
guerra;gerra
guiaí;giai
guitarra;gitara
gusana;guzana
gusano;guzano
gusto;gsto
guía;giador
génera;djenera
género;djenero
ha;a
habitación;kamareta
habitas;abitas
habito;abito
habitua;abitua
habituas;abituas
habituaste;abituaste
habituo;abituo
habitué;abitue
habíamos;abiamos
habían;abian
habías;abias
hacia;verso
hada;fada
hada;mazaa
hadado;fadado
hado;mazal
halagaí;alagai
hambre;ambre
hambriento;ambierto
hambriento;ambierto
hamburguesa;hamburger
han;an
harina;arina
harto;arto
has;as
hasta;asta
hastiaí;astiai
hay;ay
he;e
hebrea;ebrea
hebreo;ebreo
hechicera;ichizera
hechizo;echizo
hechizos;ichizos
hecho;fakto
hedí;edi
hedías;edias
helado;yelada
helaí;elai
hemos;emos
hena;yerva seka
hendí;endi
hendías;endias
heno;yerva seka
herencia;erensia
herida;ferida
herido;ferido
hermana;ermana
hermano;ermano
hermosa;ermoza
hermoso;ermozo
herraí;errai
heñí;enyi
heñías;enyias
hielo;buz
hierba;yerva
hierra;fierra
hierra;yerra
hierro;fierro
hierro;yerro
higa;iga
higo;igo
hija;ija
hijo;ijo
hincaí;inkai
hipo;sangluto
historia;estoria
historia;istoria
historiaí;istoriai
hocica;naria
hocico;nariz
holgaí;olgai
hollaí;oyai
holocausta;olokosta
holocausto;olokosto
hombra;ombra
hombre;ombre
hombro;ombro
homenaje;respekto
homologaí;omologai
honor;onor
hora;ora
horna;orna
horno;orno
horrible;orivle
hortelana;guertalana
hortelano;guertalano
hospital;ospital
hospitalidad;ospitalidad
hospitalizaí;ospitalizai
hostigaí;ostigai
hoy;oy
hozaí;ozai
hube;ube
hubieron;ubieron
hubo;uvo
huerta;bostan
huerta;guerta
huerto;guerta
huerto;guerto
huesa;guesa
hueso;gueso
hueva;gueva
huevo;guevo
humanidad;umanidad
humedecí;umedesi
humedecías;umedesias
humillación;umiliasion
hungría;ungaria
hurgaí;urgai
huésped;musafir
héroe;eroe
hígada;ligada
hígado;ligado
idealizaí;idealizai
identificaí;identifikai
idioma;lingua
idiomas;linguas
ilegalizaí;ilegalizai
ilusión;iluzion
imagen;imaje
impaciente;impasiente
impedimenta;impedimienta
impedimento;impedimiento
importante;emportante
importante;valutoza
imposible;emposivle
imprudencia;imprudensia
inauguración;seremonia de aviertura
incidente;insidente
incluido;inkluzo
incluso;inkluzo
incluías;incluias
incomunicaí;inkomunikai
inconveniente;inkonvenivle
incorporarse;redresarse
independizarseá;independisarsea
independizarseán;independisarsean
independizarseás;independisarseas
independizarseé;independisarsee
independizarsimos;independisarsimos
independizarsió;independisarsio
independizarsí;independisarsi
independizarsía;independisarsia
independizarsías;independisarsias
indicaí;indikai
indisponí;indisponi
indisponías;indisponias
inducí;induci
inducías;inducias
industrializaí;industrializai
infancia;chikez
inferí;inferi
inferías;inferias
infiel;infidel
infieles;infideles
infierno;ginnam
infierno;inferno
infligí;infligi
infligías;infligias
influencia;influensa
influí;influi
influías;influias
información;informasion
informativo;novedades
informática;enformatika
infraestructura;infrastruktura
infringí;infringi
infringías;infringias
infundia;embrolia
infundio;embrolio
ingerí;indjeri
ingerías;indjerias
inglés;inglez
inhalas;inalas
inhalaste;inalates
inhalo;inalo
inhalé;inali
inicial;inisial
inmediatamente;imediatamente
inmenso;imenso
inmiscuirseá;inmiskuirsea
inmiscuirseás;inmiskuirseas
inmiscuirseé;inmiskuirsee
inmiscuirsimos;inmiskuirsimos
inmiscuirsió;inmiskuirsio
inmiscuirsí;inmiskuirsi
inmiscuirsías;inmiskuirsias
inmortalizaí;inmortalizai
inocente;inosente
inquieto;inkieto
inquirirás;inkiriras
inquirí;inkiri
insensibilizaí;insensibilizai
instituí;institui
instituías;instituias
instruí;instrui
instruías;instruias
inteligente;intelijente
intención;entision
intensificas;intensifikas
intensificaste;intensifikaste
intensifico;intensifiko
intensificé;intensifice
interdecí;intedreci
interdecías;intedrecias
interesarse;enteresarse
interferí;interferi
interferías;interferias
internacional;internasyonal
internacionalizaí;internasionalizai
intervenías;intervenias
interés;entereso
intoxicaí;intoxikai
intricaí;intrikai
intrincado;entrafikado
introducción;introduksion
introduco;introduko
introducí;introduci
introducías;introducias
inutilizaí;inutilizai
inventariaió;inventariaio
inventariaí;inventariai
investigación;investigasion
invitación;invitasion
inválido;enfirmo
irrogaí;irrogai
isla;izla
izaí;izai
izquierda;siedra
jabón;shavon
jamás;nunka
janucá;hanuka
japonés;japonezo
jaquí;jaki
jaquías;jakias
jardin;guerta
jardines;guertas
jardín;guerta
jazz;djaz
jefe;shef
jeringaí;jeringai
jersey;sueter
joven;mansevo
joya;djoya
joyera;djoyera
joyero;djoyero
judeoespañol;Judeo-Espanyol
judío;judio
jueves;djugeves
juez;djuzgo
jugo;sumo
juguete;djugete
jugé;juge
juntamente;endjuntos
junto;djunto
kilómetro;kilometro
kiwi;kivi
labia;musha
labio;musho
labor;lavoro
lacio;flosho
languidecí;langidesi
languidecías;langidesias
lanzado;aktivo
lanzarse;echarse
lanzé;lanze
largaí;largai
lazaí;lazai
lechuza;kukuvaya
lector;lektor
lectura;meldadura
legalizaí;legalizai
legaí;legai
lejano;leshano
lejos;leshos
lelo;torpe
lengua;aluenga
lentamente;avagar
levantarse;alevantarse
leve;liviano
liaí;liai
libra;livra
libro;livro
licencia;lisensia
licuaí;likuai
ligaí;ligai
limite;limito
lista;pronta
litigaí;litigai
llave;yave
llena;yena
llenarse;inchirsen
lleno;yeno
llenos;yenos
llevarlo;yevarlo
lluvia;luvya
loba;lova
lobo;lovo
localizaí;lokalizai
locutor;spiker
logaí;logai
lucrarse;ganar
luego;despues
luja;luksa
lujo;lukso
lujoso;luksyozo
lápiz;kalem
lástima;pekado
lógica;lojika
lúcido;lusido
machacaí;makakai
madrugaí;madrugai
magia;majiya
magica;majika
magnifico;manyifiko
majo;maho
maldecí;maldeci
maldecías;maldecias
maldito;maldicho
maleta;validja
malherí;maleri
malherías;malerias
malquererás;malkereras
malquerí;malkeri
malquerías;malkerias
mamá;mama
manca;sin brasa
manco;sin braso
mandamienta;enkomendansa
mandamiento;enkomendansa
mantení;manteni
mantenías;mantenias
manzana;mansana
maquillaje;makiyaj
maquillarse;makiyars
maquillarse;makiyarse
maravillosa;maraviyoza
marca;kuadra
marca;marka
marcaí;markai
marchas;vas
marco;kuadro
marquesina;tenta
marroquí;morokino
mas;ma
mascan;maskan
mascas;maskas
mascaste;maskaste
masco;masko
mascé;mase
mascó;maso
masticaí;mastikai
matrimonio;kazamiento
matrimonios;kazamientos
maulaí;maulai
maullaí;mauyai
mayoría;majorita
mayúscula;majiskula
maña;manya
mañana;amanyana
meció;mesio
mecí;mesi
mecías;mesias
medalla;medalya
medicamento;kura
medicaí;medikai
medicina;medikeria
medicina;medisina
medico;doktor
medida;prekosion
mediodia;midi
mediodía;midi
meditación;meditasyon
meditaste;meditates
medité;mediti
mejilla;kara
mejor;mijor
mejorado;mijorado
mejorarse;amijorarse
mejoraste;mejorates
melocotón;shefteli
memorable;memoravle
memoria;tino
mendigaí;mendigai
mendigo;sedakero
menguaí;mengai
menor;minor
menos;manko
mensaje;mesaje
menstruaí;menstruai
mentaí;mentai
mentías;mentias
mercado;charsi
mercería;merseriya
merendé;merende
mes;mez
mesa;meza
metalizaí;metalizai
metastatizaí;metastatizai
meterse;toparse
meteréis;meteresh
metrimonia;kazamienta
metrimonio;kazamiento
metías;metias
mezclaste;mezclates
microbios;mikropes
mieda;espanta
miedo;espanto
mierda;medra
migraste;migrates
migré;migri
milagro;mirakolo
millar;mil
millón;milyon
mimeografiaí;mimeografiai
minucia;detalios
miope;miyope
miseria;mizeria
misma;mizma
mismo;mizmo
mitificaí;mitifikai
mitigaí;mitigai
modificaí;modifikai
modulaste;modulates
modulé;moduli
mojaste;mojates
mojé;moji
molaste;molates
molerás;moleras
molestaste;molestates
molé;moli
molí;moli
molías;molias
moló;molo
monedero;portmone
monopolizaí;monopolizai
monosílabo;monosilabo
montaste;montates
montaña;montanya
montón;monton
moralizaí;moralizai
mordías;modrias
morena;morenoa
mortificaí;mortifikai
mosca;moshka
mosquito;moshko
mostraí;mostrai
motivaste;motivates
motivé;motivi
motocicleta;motosikleta
motora;barka motorizada
moverseá;moversea
moverseás;moverseas
moversí;moversi
moversías;moversias
moza;mosa
mozo;moso
mucha;muncha
muchacha;muchachoa
muchas;munchas
mucho;muncho
mudaste;mudates
mueble;moble
mugí;mugi
mugías;mugias
mullí;muyi
mullías;muyias
multiplicaí;multiplikai
murmuraste;murmurates
murmuré;murmuri
musea;muzea
museo;muzeo
musica;muzika
musla;pierna
muslo;pierna
mutilaste;mutilates
mutilé;mutili
mutuamente;uno a otro
muñeca;kukla
muñequera;ora de braso
muñí;munyi
muñías;munyias
mácula;mancha
mágico;majiya
máquina;makina
más;maz
máximo;maksimo
médica;mekical
médico;doktor
mínimo;minimum
música;muzika
nacional;nasional
nacionalizaí;nasionalizai
nación;nasyon
nadaste;nadates
nadie;dinguno
nadé;nadi
naranja;portokal
narcotizaí;narkotizai
narraste;narrates
narré;narri
naturaleza;natura
naturalizaí;naturalizai
navidad;noel
neblina;nevlina
nebuloso;brumozo
necesario;nesesario
necesidad;nesesidad
necesitaste;nesesitates
negocias;negosias
negociaste;negosiates
negocio;echo
negocio;negosio
negocié;negosii
negrecí;negresi
negrecías;negresias
negro;preto
nervioso;inyervozo
niebla;sis
nieta;inyeta
nietas;inyetas
nieto;inyeto
nietos;inyetos
nieve;inyeve
ninguno;dinguno
niña;kreatura
niñas;kreaturas
niño;kreatura
niños;kreaturas
noble;novle
nosotros;mozotros
nostalgia;nostaljia
nota;mesaje
notablemente;notavlamente
notas;mesajes
noticia;avizo
noticia;nuvela
notificaí;notifikai
novecientos;novesientos
novela;romanso
nublado;nuvlozo
nublaste;nublates
nublé;nubli
nuca;piskueso
nuda;anyuda
nudo;anyudo
nuera;ermuera
nuestra;muestra
nuestro;muestro
nueva;mueva
nueve;mueve
nuevo;muevo
numeraste;numerates
nutriste;nutrites
nutrí;nutri
nutrías;nutrias
obediente;obeisente
objetiva;objektivoa
objetivo;objektivo
objeto;objekto
obligación;ovligasion
obligé;oblige
obra;ovra
obra;piesa
observaste;observates
obstácula;obstakola
obstáculo;obstakolo
ocasión;okazion
occidente;oksidente
ochocientos;ochosientos
octavo;ochen
oculta;okulta
ocultas;okultas
ocultaste;okultates
oculto;okulto
oculté;okulti
ocupado;okupado
ocupaste;okupates
ocurres;okurres
ocurriste;okurrites
ocurro;okurro
ocurrí;okurri
ocurrías;okurrias
odiaste;odiates
odio;orejas
ofendiste;ofendites
ofendéis;ofendesh
ofendías;ofendias
oficial;ofisial
oficializaí;ofisializai
oficina;buro
oficio;ofisio
ojalá;ishalla
olor;golor
omitirás;omitiras
omitiré;omitire
omitiréis;omitiresh
omitirías;omitas
omitiste;omitites
omitías;omitias
once;onze
opacaí;opakai
operaste;operates
opinaste;opinates
opinión;opinion
opiné;opini
oponerseá;oponersea
oponerseás;oponerseas
oponersías;oponersias
oportuno;konveniente
optaste;optates
optimizaí;optimizai
ordenador;kompiuter
ordenaste;odrenates
orgullo;orgolyo
orinaste;orinates
oriné;orini
os;vos
osaste;osates
oscilas;ossilas
oscilaste;ossilates
oscilo;ossilo
oscilé;ossili
oscurecí;oskuresi
oscurecías;oskuresias
oscuridad;eskuridad
oscuro;eskuro
oscuros;kuyi
ostra;estridia
osé;osi
otorgaí;otorgai
otoña;otonya
otoño;otonyo
oxidaste;oxidates
oxidé;oxidi
oías;oias
pabellón;paviyon
pacer;komer yerva
paciencia;pasensia
paciente;pasensia
pacificaí;pasifikai
padecías;padesias
pagé;page
palabra;biervo
palabra;byervo
palabra;palavra
palca;balkoa
palco;balkon
paliaí;paliai
palidecí;palidesi
palidecías;palidesias
pantalones;pantalon
papá;papa
parabrisas;vidro delantero
paraguas;chadir
parahusaí;parausai
paralizaí;paralizai
paralítico;paralizado
pararse;kedarse
paraste;parates
parausaí;parausai
paraísa;ganedea
paraíso;ganeden
parecerse;pareserse
pareco;pareko
parecí;pareci
parpadeaste;parpadeates
parpadeé;parpadei
parque;parko
particularizaí;partikularizai
partidario;partizante
partido;mach
partías;partias
parábola;chanaka de satelit
pasajera;pasajeroa
pasaporte;pasaporto
pasarse;pasar al enemigo
paseaste;paseates
pasilla;koridoa
pasillo;koridor
pasmaste;pasmates
pasmé;pasmi
pastel;gato
pastel;gató
pateaste;pateates
pateé;patei
patia;kortija
patinaste;patinates
patiné;patini
patio;kortijo
patrimonia;patrimonya
patrimonio;patrimonyo
payasa;paylacha
payaso;paylacho
paz;pas
país;paiz
pañuelo;rida
pecaí;pekai
pedaleaste;pedaleates
pedaleé;pedalei
pedazo;pedaso
pegarseá;pegarsea
pegarseás;pegarseas
pegarsías;pegarsias
pegaí;pegai
peinarse;peynarse
peinaste;peinates
peiné;peini
pelicula;filmo
peligro;perikolo
peligrosamente;perikolozamente
