abalanzar;ekilibrar
cascarás;kaskaras
cascaré;kaskare
cascaí;kaskai
cascaía;kaskaia
cascaíamos;kaskaiamos
cascaían;kaskaian
cascaías;kaskaias
casi;kaji
caso;kavzo
castaña;shatea
castaño;shaten
castañuelas;kasranyetas
castigaieron;kastigaieron
castigaimos;kastigaimos
castigaiste;kastigaiste
castigaió;kastigaio
castigaremos;kastigaremos
castigará;kastigara
castigarán;kastigaran
castigarás;kastigaras
castigaré;kastigare
castigaí;kastigai
castigaía;kastigaia
castigaíamos;kastigaiamos
castigaían;kastigaian
castigaías;kastigaias
catalizaieron;katalizaieron
catalizaimos;katalizaimos
catalizaiste;katalizaiste
catalizaió;katalizaio
catalizaremos;katalisaremos
catalizará;katalisara
catalizarán;katalisaran
catalizarás;katalisaras
catalizaré;katalisare
catalizaí;katalizai
catalizaía;katalizaia
catalizaíamos;katalizaiamos
catalizaían;katalizaian
catalizaías;katalizaias
catalogaieron;katalogaieron
catalogaimos;katalogaimos
catalogaiste;katalogaiste
catalogaió;katalogaio
catalogaremos;katalogaremos
catalogará;katalogara
catalogarán;katalogaran
catalogarás;katalogaras
catalogaré;katalogare
catalogaí;katalogai
catalogaía;katalogaia
catalogaíamos;katalogaiamos
catalogaían;katalogaian
catalogaías;katalogaias
catar;degustar
catolizaieron;katolizaieron
catolizaimos;katolizaimos
catolizaiste;katolizaiste
catolizaió;katolizaio
catolizaremos;katolisaremos
catolizará;katolisara
catolizarán;katolisaran
catolizarás;katolisaras
catolizaré;katolisare
catolizaí;katolizai
catolizaía;katolizaia
catolizaíamos;katolizaiamos
catolizaían;katolizaian
catolizaías;katolizaias
catorce;katorze
causar;kavzar
cauterizaieron;kauterizaieron
cauterizaimos;kauterizaimos
cauterizaiste;kauterizaiste
cauterizaió;kauterizaio
cauterizaremos;kauterisaremos
cauterizará;kauterisara
cauterizarán;kauterisaran
cauterizarás;kauterisaras
cauterizaré;kauterisare
cauterizaí;kauterizai
cauterizaía;kauterizaia
cauterizaíamos;kauterizaiamos
cauterizaían;kauterizaian
cauterizaías;kauterizaias
cayeron;kayeron
cayó;kayo
caza;kaza
cazaba;kazaba
cazaban;kazaban
cazabas;kazabas
cazamos;kazamos
cazan;kazan
cazar;kasar
cazaremos;kasaremos
cazaron;kasaron
cazará;kasara
cazarán;kasaran
cazarás;kasaras
cazaré;kasare
cazas;kazas
cazaste;kazaste
cazo;kazo
cazuela;cacharole
cazábamos;kazabamos
cazé;kaze
cazó;kazo
caí;kai
caía;kaia
caíamos;kaiamos
caían;kaian
caías;kaias
caímos;kaimos
caíste;kaiste
cañón;kanon
cebolla;sevoya
cegaieron;segaieron
cegaimos;segaimos
cegaiste;segaiste
cegaió;segaio
cegaremos;segaremos
cegará;segara
cegarán;segaran
cegarás;segaras
cegaré;segare
cegaí;segai
cegaía;segaia
cegaíamos;segaiamos
cegaían;segaian
cegaías;segaias
ceja;seja
cela;sela
celebrar;selebrar
celo;selo
cementerio;betahayim
cena;sena
cenar;komer
centra;sentra
centralizaieron;sentralizaieron
centralizaimos;sentralizaimos
centralizaiste;sentralizaiste
centralizaió;sentralizaio
centralizaremos;sentralisaremos
centralizará;sentralisara
centralizarán;sentralisaran
centralizarás;sentralisaras
centralizaré;sentralisare
centralizaí;sentralizai
centralizaía;sentralizaia
centralizaíamos;sentralizaiamos
centralizaían;sentralizaian
centralizaías;sentralizaias
centrifugaieron;sentrifugaieron
centrifugaimos;sentrifugaimos
centrifugaiste;sentrifugaiste
centrifugaió;sentrifugaio
centrifugaremos;sentrifugaremos
centrifugará;sentrifugara
centrifugarán;sentrifugaran
centrifugarás;sentrifugaras
centrifugaré;sentrifugare
centrifugaí;sentrifugai
centrifugaía;sentrifugaia
centrifugaíamos;sentrifugaiamos
centrifugaían;sentrifugaian
centrifugaías;sentrifugaias
centro;sentro
cera;sera
cerca;serka
cercaieron;serkaieron
cercaimos;serkaimos
cercaiste;serkaiste
cercaió;serkaio
cercano;serkano 
cercaremos;serkaremos
cercará;serkara
cercarán;serkaran
cercarás;serkaras
cercaré;serkare
cercaí;serkai
cercaía;serkaia
cercaíamos;serkaiamos
cercaían;serkaian
cercaías;serkaias
cerebra;meoya
cerebro;meoyo
cerneremos;serneremos
cernerá;sernera
cernerán;serneran
cernerás;serneras
cerneré;sernere
cernieron;sernieron
cernieron;sernieron
cernimos;sernimos
cernimos;sernimos
cerniremos;serniremos
cernirá;sernira
cernirán;serniran
cernirás;serniras
cerniré;sernire
cerniste;serniste
cerniste;serniste
cernió;sernio
cernió;sernio
cerní;serni
cerní;serni
cernía;sernia
cernía;sernia
cerníamos;serniamos
cerníamos;serniamos
cernían;sernian
cernían;sernian
cernías;sernias
cernías;sernias
cero;sero
cerraba;serraba
cerraban;serraban
cerrabas;serrabas
cerradura;serradura
cerramos;serramos
cerrar;serrar
cerraremos;serraremos
cerraron;serraron
cerrará;serrara
cerrarán;serraran
cerrarás;serraras
cerraré;serrare
cerraste;serraste
cerrábamos;serrabamos
cerré;serre
cerró;serro
certificaieron;sertifikaieron
certificaimos;sertifikaimos
certificaiste;sertifikaiste
certificaió;sertifikaio
certificaremos;sertifikaremos
certificará;sertifikara
certificarán;sertifikaran
certificarás;sertifikaras
certificaré;sertifikare
certificaí;sertifikai
certificaía;sertifikaia
certificaíamos;sertifikaiamos
certificaían;sertifikaian
certificaías;sertifikaias
cerveza;bira
ceñieron;senyieron
ceñimos;senyimos
ceñiremos;senyiremos
ceñirá;senyira
ceñirán;senyiran
ceñirás;senyiras
ceñiré;senyire
ceñiste;senyiste
ceñió;senyio
ceñí;senyi
ceñía;senyia
ceñíamos;senyiamos
ceñían;senyian
ceñías;senyias
chal;shal
champiñón;shampinyon
chamuscaieron;kamuskaieron
chamuscaimos;kamuskaimos
chamuscaiste;kamuskaiste
chamuscaió;kamuskaio
chamuscaremos;kamuskaremos
chamuscará;kamuskara
chamuscarán;kamuskaran
chamuscarás;kamuskaras
chamuscaré;kamuskare
chamuscaí;kamuskai
chamuscaía;kamuskaia
chamuscaíamos;kamuskaiamos
chamuscaían;kamuskaian
chamuscaías;kamuskaias
chaqueta;djaketa
charlando;aziendo muabbet
chascaieron;kaskaieron
chascaimos;kaskaimos
chascaiste;kaskaiste
chascaió;kaskaio
chascaremos;kaskaremos
chascará;kaskara
chascarán;kaskaran
chascarás;kaskaras
chascaré;kaskare
chascaí;kaskai
chascaía;kaskaia
chascaíamos;kaskaiamos
chascaían;kaskaian
chascaías;kaskaias
chica;ija
chicas;chikas
chicle;chiklet
chico;ijo
chicos;chikos
chillar;echar chiyo
china;kineza
chingaieron;singaieron
chingaimos;singaimos
chingaiste;singaiste
chingaió;singaio
chingaremos;singaremos
chingará;singara
chingarán;singaran
chingarás;singaras
chingaré;singare
chingaí;singai
chingaía;singaia
chingaíamos;singaiamos
chingaían;singaian
chingaías;singaias
chino;kinezo
chirriaieron;zirriaieron
chirriaimos;zirriaimos
chirriaiste;zirriaiste
chirriaió;zirriaio
chirriaremos;zirriaremos
chirriará;zirriara
chirriarán;zirriaran
chirriarás;zirriaras
chirriaré;zirriare
chirriaí;zirriai
chirriaía;zirriaia
chirriaíamos;zirriaiamos
chirriaían;zirriaian
chirriaías;zirriaias
chiste;anekdota
chocar;chaptear
chocolate;chicolata
chofer;shofor
choque;shok
ciaieron;siaieron
ciaimos;siaimos
ciaiste;siaiste
ciaió;siaio
ciaremos;siaremos
ciará;siara
ciarán;siaran
ciarás;siaras
ciaré;siare
ciaí;siai
ciaía;siaia
ciaíamos;siaiamos
ciaían;siaian
ciaías;siaias
cicatrizaieron;sikatrizaieron
cicatrizaimos;sikatrizaimos
cicatrizaiste;sikatrizaiste
cicatrizaió;sikatrizaio
cicatrizaremos;sikatrisaremos
cicatrizará;sikatrisara
cicatrizarán;sikatrisaran
cicatrizarás;sikatrisaras
cicatrizaré;sikatrisare
cicatrizaí;sikatrizai
cicatrizaía;sikatrizaia
cicatrizaíamos;sikatrizaiamos
cicatrizaían;sikatrizaian
cicatrizaías;sikatrizaias
ciego;siego 
ciela;syelo
cielo;sielo
cien;sien
ciencia;sensia
ciento;sien
cierra;serra
cierra;sierra
cierran;serran
cierras;sierras
cierro;sierro
cigarrilla;sigara
cigarrillo;sigaro
cigüeña;sigonya
cimentaieron;simentaieron
cimentaimos;simentaimos
cimentaiste;simentaiste
cimentaió;simentaio
cimentaremos;simentaremos
cimentará;simentara
cimentarán;simentaran
cimentarás;simentaras
cimentaré;simentare
cimentaí;simentai
cimentaía;simentaia
cimentaíamos;simentaiamos
cimentaían;simentaian
cimentaías;simentaias
cinco;sinko
cincuenta;sinkuenta
cine;sinema
cinematografiaieron;sinematografiaieron
cinematografiaimos;sinematografiaimos
cinematografiaiste;sinematografiaiste
cinematografiaió;sinematografiaio
cinematografiaremos;sinematografiaremos
cinematografiará;sinematografiara
cinematografiarán;sinematografiaran
cinematografiarás;sinematografiaras
cinematografiaré;sinematografiare
cinematografiaí;sinematografiai
cinematografiaía;sinematografiaia
cinematografiaíamos;sinematografiaiamos
cinematografiaían;sinematografiaian
cinematografiaías;sinematografiaias
cinturón;sintura
circuieron;zirkuieron
circuimos;zirkuimos
circuiremos;zirkuiremos
circuirá;zirkuira
circuirán;zirkuiran
circuirás;zirkuiras
circuiré;zirkuire
circuiste;zirkuiste
circuió;zirkuio
circulación;sirkulasion
circular;sirkular
circunnavegaieron;zirkunnavegaieron
circunnavegaimos;zirkunnavegaimos
circunnavegaiste;zirkunnavegaiste
circunnavegaió;zirkunnavegaio
circunnavegaremos;zirkunnavegaremos
circunnavegará;zirkunnavegara
circunnavegarán;zirkunnavegaran
circunnavegarás;zirkunnavegaras
circunnavegaré;zirkunnavegare
circunnavegaí;zirkunnavegai
circunnavegaía;zirkunnavegaia
circunnavegaíamos;zirkunnavegaiamos
circunnavegaían;zirkunnavegaian
circunnavegaías;zirkunnavegaias
circunstancia;sirkunstansia
circunvenieron;zirkunvenieron
circunvenimos;zirkunvenimos
circunveniremos;zirkunveniremos
circunvenirá;zirkunvenira
circunvenirán;zirkunveniran
circunvenirás;zirkunveniras
circunveniré;zirkunvenire
circunveniste;zirkunveniste
circunvenió;zirkunvenio
circunvení;zirkunveni
circunvenía;zirkunvenia
circunveníamos;zirkunveniamos
circunvenían;zirkunvenian
circunvenías;zirkunvenias
circuí;zirkui
circuía;zirkuia
circuíamos;zirkuiamos
circuían;zirkuian
circuías;zirkuias
ciudad;sivdad
civil;sivil
civilizaieron;sivilizaieron
civilizaimos;sivilizaimos
civilizaiste;sivilizaiste
civilizaió;sivilizaio
civilizaremos;sivilisaremos
civilizará;sivilisara
civilizarán;sivilisaran
civilizarás;sivilisaras
civilizaré;sivilisare
civilizaí;sivilizai
civilizaía;sivilizaia
civilizaíamos;sivilizaiamos
civilizaían;sivilizaian
civilizaías;sivilizaias
clarificaieron;clarifikaieron
clarificaimos;clarifikaimos
clarificaiste;clarifikaiste
clarificaió;clarifikaio
clarificaremos;clarifikaremos
clarificará;clarifikara
clarificarán;clarifikaran
clarificarás;clarifikaras
clarificaré;clarifikare
clarificaí;clarifikai
clarificaía;clarifikaia
clarificaíamos;clarifikaiamos
clarificaían;clarifikaian
clarificaías;clarifikaias
claro;klaro
clase;leson
clases;lesones
clasificaieron;clasifikaieron
clasificaimos;clasifikaimos
clasificaiste;clasifikaiste
clasificaió;clasifikaio
clasificaremos;clasifikaremos
clasificarseemos;clasifikarseemos
clasificarseá;clasifikarsea
clasificarseán;clasifikarsean
clasificarseás;clasifikarseas
clasificarseé;clasifikarsee
clasificarsieron;clasifikarsieron
clasificarsimos;clasifikarsimos
clasificarsiste;clasifikarsiste
clasificarsió;clasifikarsio
clasificarsí;clasifikarsi
clasificarsía;clasifikarsia
clasificarsíamos;clasifikarsiamos
clasificarsían;clasifikarsian
clasificarsías;clasifikarsias
clasificará;clasifikara
clasificarán;clasifikaran
clasificarás;clasifikaras
clasificaré;clasifikare
clasificaí;clasifikai
clasificaía;clasifikaia
clasificaíamos;clasifikaiamos
clasificaían;clasifikaian
clasificaías;clasifikaias
cliente;kliente
climatizaieron;climatizaieron
climatizaimos;climatizaimos
climatizaiste;climatizaiste
climatizaió;climatizaio
climatizaremos;climatisaremos
climatizará;climatisara
climatizarán;climatisaran
climatizarás;climatisaras
climatizaré;climatisare
climatizaí;climatizai
climatizaía;climatizaia
climatizaíamos;climatizaiamos
climatizaían;climatizaian
climatizaías;climatizaias
cloroformizaieron;cloroformizaieron
cloroformizaimos;cloroformizaimos
cloroformizaiste;cloroformizaiste
cloroformizaió;cloroformizaio
cloroformizaremos;cloroformisaremos
cloroformizará;cloroformisara
cloroformizarán;cloroformisaran
cloroformizarás;cloroformisaras
cloroformizaré;cloroformisare
cloroformizaí;cloroformizai
cloroformizaía;cloroformizaia
cloroformizaíamos;cloroformizaiamos
cloroformizaían;cloroformizaian
cloroformizaías;cloroformizaias
clásica;klasika
clásico;klasiko
coadquirieron;koadkirieron
coadquirimos;koadkirimos
coadquiriremos;koadkiriremos
coadquirirá;koadkirira
coadquirirán;koadkiriran
coadquirirás;koadkiriras
coadquiriré;koadkirire
coadquiriste;koadkiriste
coadquirió;koadkirio
coadquirí;koadkiri
coadquiría;koadkiria
coadquiríamos;koadkiriamos
coadquirían;koadkirian
coadquirías;koadkirias
cobarde;espantozo
coce;kuze
coceremos;koseremos
cocerá;kosera
cocerán;koseran
cocerás;koseras
coceré;kosere
coche;otomobil
cocieron;kosieron
cocimos;kosimos
cocina;giza
cocinar;gizar
cociste;kosiste
coció;kosio
cocí;kosi
cocía;kosia
cocíamos;kosiamos
cocían;kosian
cocías;kosias
codificaieron;kodifikaieron
codificaimos;kodifikaimos
codificaiste;kodifikaiste
codificaió;kodifikaio
codificaremos;kodifikaremos
codificará;kodifikara
codificarán;kodifikaran
codificarás;kodifikaras
codificaré;kodifikare
codificaí;kodifikai
codificaía;kodifikaia
codificaíamos;kodifikaiamos
codificaían;kodifikaian
codificaías;kodifikaias
codo;kovdo
cogeremos;kodjeremos
cogerá;kodjera
cogerán;kodjeran
cogerás;kodjeras
cogeré;kodjere
cogieron;kodjieron
cogimos;kodjimos
cogiste;kodjiste
cogió;kodjio
cogí;kodji
cogía;kodjia
cogíamos;kodjiamos
cogían;kodjian
cogías;kodjias
cohete;roketa
cohibieron;kohibieron
cohibimos;kohibimos
cohibiremos;kohibiremos
cohibirá;kohibira
cohibirán;kohibiran
cohibirás;kohibiras
cohibiré;kohibire
cohibiste;kohibiste
cohibió;kohibio
cohibí;kohibi
cohibía;kohibia
cohibíamos;kohibiamos
cohibían;kohibian
cohibías;kohibias
coincidir;koensidar
cojo;kosho
colaieron;kolaieron
colaimos;kolaimos
colaiste;kolaiste
colaió;kolaio
colaremos;kolaremos
colará;kolara
colarán;kolaran
colarás;kolaras
colaré;kolare
colaí;kolai
colaía;kolaia
colaíamos;kolaiamos
colaían;kolaian
colaías;kolaias
colectividad;kolektividad
colega;kolego 
colegieron;koledjieron
colegimos;koledjimos
colegiremos;koledjiremos
colegirá;koledjira
colegirán;koledjiran
colegirás;koledjiras
colegiré;koledjire
colegiste;koledjiste
colegió;koledjio
colegí;kolegi
colegía;kolegia
colegíamos;kolegiamos
colegían;kolegian
colegías;kolegias
colgar;enkolgar
colicuaieron;kolikuaieron
colicuaimos;kolikuaimos
colicuaiste;kolikuaiste
colicuaió;kolikuaio
colicuaremos;kolikuaremos
colicuará;kolikuara
colicuarán;kolikuaran
colicuarás;kolikuaras
colicuaré;kolikuare
colicuaí;kolikuai
colicuaía;kolikuaia
colicuaíamos;kolikuaiamos
colicuaían;kolikuaian
colicuaías;kolikuaias
colmado;bakal
colocaieron;kolokaieron
colocaimos;kolokaimos
colocaiste;kolokaiste
colocaió;kolokaio
colocaremos;kolokaremos
colocará;kolokara
colocarán;kolokaran
colocarás;kolokaras
colocaré;kolokare
colocaí;kolokai
colocaía;kolokaia
colocaíamos;kolokaiamos
colocaían;kolokaian
colocaías;kolokaias
colonia;kolonya
colonizaieron;kolonizaieron
colonizaimos;kolonizaimos
colonizaiste;kolonizaiste
colonizaió;kolonizaio
colonizaremos;kolonisaremos
colonizará;kolonisara
colonizarán;kolonisaran
colonizarás;kolonisaras
colonizaré;kolonisare
colonizaí;kolonizai
colonizaía;kolonizaia
colonizaíamos;kolonizaiamos
colonizaían;kolonizaian
colonizaías;kolonizaias
color;kolor
columna;kolona
columpiarse;kunarse
columpio;kuna
comandante;komandante
comas;komas
combinación;kombinasion
comedia;komedia
comenzaieron;komenzaieron
comenzaimos;komenzaimos
comenzaiste;komenzaiste
comenzaió;komenzaio
comenzaremos;komensaremos
comenzará;komensara
comenzarán;komensaran
comenzarás;komensaras
comenzaré;komensare
comenzaí;komenzai
comenzaía;komenzaia
comenzaíamos;komenzaiamos
comenzaían;komenzaian
comenzaías;komenzaias
comer;komer
comerciante;komersante
comestible;de komer
comida;komida
comienza;empesija
comienzo;empesijo
comiscaieron;komiskaieron
comiscaimos;komiskaimos
comiscaiste;komiskaiste
comiscaió;komiskaio
comiscaremos;komiskaremos
comiscará;komiskara
comiscarán;komiskaran
comiscarás;komiskaras
comiscaré;komiskare
comiscaí;komiskai
comiscaía;komiskaia
comiscaíamos;komiskaiamos
comiscaían;komiskaian
comiscaías;komiskaias
como;komo
compadeceremos;kompadeseremos
compadecerá;kompadesera
compadecerán;kompadeseran
compadecerás;kompadeseras
compadeceré;kompadesere
compadecieron;kompadesieron
compadecimos;kompadesimos
compadeciste;kompadesiste
compadeció;kompadesio
compadecí;kompadesi
compadecía;kompadesia
compadecíamos;kompadesiamos
compadecían;kompadesian
compadecías;kompadesias
compareceremos;kompareseremos
comparecerá;komparesera
comparecerán;kompareseran
comparecerás;kompareseras
compareceré;komparesere
comparecieron;komparesieron
comparecimos;komparesimos
compareciste;komparesiste
compareció;komparesio
comparecí;komparesi
comparecía;komparesia
comparecíamos;komparesiamos
comparecían;komparesian
comparecías;komparesias
compartir;partajar
compañera;kompanyera
compañero;kompanyero
competieron;kompetieron
competimos;kompetimos
competiremos;kompetiremos
competirá;kompetira
competirán;kompetiran
competirás;kompetiras
competiré;kompetire
competiste;kompetiste
competitivo;kompetitivo 
competió;kompetio
competí;kompeti
competía;kompetia
competíamos;kompetiamos
competían;kompetian
competías;kompetias
complaceremos;komplaseremos
complacerá;komplasera
complacerán;komplaseran
complacerás;komplaseras
complaceré;komplasere
complacieron;komplasieron
complacimos;komplasimos
complaciste;komplasiste
complació;komplasio
complací;komplasi
complacía;komplasia
complacíamos;komplasiamos
complacían;komplasian
complacías;komplasias
completamente;kompletamente
complicaieron;komplikaieron
complicaimos;komplikaimos
complicaiste;komplikaiste
complicaió;komplikaio
complicaremos;komplikaremos
complicará;komplikara
complicarán;komplikaran
complicarás;komplikaras
complicaré;komplikare
complicaí;komplikai
complicaía;komplikaia
complicaíamos;komplikaiamos
complicaían;komplikaian
complicaías;komplikaias
componeremos;komponeremos
componerá;komponera
componerán;komponeran
componerás;komponeras
componeré;komponere
componieron;komponieron
componimos;komponimos
componiste;komponiste
componió;komponio
componí;komponi
componía;komponia
componíamos;komponiamos
componían;komponian
componías;komponias
comprar;merkar
comprender;entender
comprobaieron;komprobaieron
comprobaimos;komprobaimos
comprobaiste;komprobaiste
comprobaió;komprobaio
comprobaremos;komprobaremos
comprobará;komprobara
comprobarán;komprobaran
comprobarás;komprobaras
comprobaré;komprobare
comprobaí;komprobai
comprobaía;komprobaia
comprobaíamos;komprobaiamos
comprobaían;komprobaian
comprobaías;komprobaias
compromiso;espozorio
compuesto;kompuesto
comulgaieron;komulgaieron
comulgaimos;komulgaimos
comulgaiste;komulgaiste
comulgaió;komulgaio
comulgaremos;komulgaremos
comulgará;komulgara
comulgarán;komulgaran
comulgarás;komulgaras
comulgaré;komulgare
comulgaí;komulgai
comulgaía;komulgaia
comulgaíamos;komulgaiamos
comulgaían;komulgaian
comulgaías;komulgaias
comunica;komunika
comunicaba;komunikaba
comunicaban;komunikaban
comunicabas;komunikabas
comunicamos;komunikamos
comunican;komunikan
comunicar;komunikar
comunicaremos;komunikaremos
comunicaron;komunikaron
comunicará;komunikara
comunicarán;komunikaran
comunicarás;komunikaras
comunicaré;komunikare
comunicas;komunikas
comunicaste;komunikaste
comunico;komuniko
comunicábamos;komunicabamos
comunicé;komunice
comunicó;komunico
con;kon
concebieron;konsebieron
concebimos;konsebimos
concebiremos;konsebiremos
concebirá;konsebira
concebirán;konsebiran
concebirás;konsebiras
concebiré;konsebire
concebiste;konsebiste
concebió;konsebio
concebí;konsebi
concebía;konsebia
concebíamos;konsebiamos
concebían;konsebian
concebías;konsebias
conceder;conseder
conceder;dar razon
conceptuaieron;konseptuaieron
conceptuaimos;konseptuaimos
conceptuaiste;konseptuaiste
conceptuaió;konseptuaio
conceptualizaieron;konseptualizaieron
conceptualizaimos;konseptualizaimos
conceptualizaiste;konseptualizaiste
conceptualizaió;konseptualizaio
conceptualizaremos;konseptualisaremos
conceptualizará;konseptualisara
conceptualizarán;konseptualisaran
conceptualizarás;konseptualisaras
conceptualizaré;konseptualisare
conceptualizaí;konseptualizai
conceptualizaía;konseptualizaia
conceptualizaíamos;konseptualizaiamos
conceptualizaían;konseptualizaian
conceptualizaías;konseptualizaias
conceptuaremos;konseptuaremos
conceptuará;konseptuara
conceptuarán;konseptuaran
conceptuarás;konseptuaras
conceptuaré;konseptuare
conceptuaí;konseptuai
conceptuaía;konseptuaia
conceptuaíamos;konseptuaiamos
conceptuaían;konseptuaian
conceptuaías;konseptuaias
concernieron;konsernieron
concernimos;konsernimos
concerniremos;konserniremos
concernirá;konsernira
concernirán;konserniran
concernirás;konserniras
concerniré;konsernire
concerniste;konserniste
concernió;konsernio
concerní;konserni
concernía;konsernia
concerníamos;konserniamos
concernían;konsernian
concernías;konsernias
concertaieron;konsertaieron
concertaimos;konsertaimos
concertaiste;konsertaiste
concertaió;konsertaio
concertaremos;konsertaremos
concertará;konsertara
concertarán;konsertaran
concertarás;konsertaras
concertaré;konsertare
concertaí;konsertai
concertaía;konsertaia
concertaíamos;konsertaiamos
concertaían;konsertaian
concertaías;konsertaias
conciencia;konsensya
concierto;konsierto
concluieron;koncluieron
concluimos;koncluimos
concluiremos;koncluiremos
concluirá;koncluira
concluirán;koncluiran
concluirás;koncluiras
concluiré;koncluire
concluiste;koncluiste
concluió;koncluio
conclusión;konkluzion
concluí;konclui
concluía;koncluia
concluíamos;koncluiamos
concluían;koncluian
concluías;koncluias
concordaieron;konkodraieron
concordaimos;konkodraimos
concordaiste;konkodraiste
concordaió;konkodraio
concordaremos;konkodraremos
concordará;konkodrara
concordarán;konkodraran
concordarás;konkodraras
concordaré;konkodrare
concordaí;konkodrai
concordaía;konkodraia
concordaíamos;konkodraiamos
concordaían;konkodraian
concordaías;konkodraias
concretizaieron;konkretizaieron
concretizaimos;konkretizaimos
concretizaiste;konkretizaiste
concretizaió;konkretizaio
concretizaremos;konkretisaremos
concretizará;konkretisara
concretizarán;konkretisaran
concretizarás;konkretisaras
concretizaré;konkretisare
concretizaí;konkretizai
concretizaía;konkretizaia
concretizaíamos;konkretizaiamos
concretizaían;konkretizaian
concretizaías;konkretizaias
condecieron;kondesieron
condecimos;kondesimos
condeciremos;kondeziremos
condecirá;kondezira
condecirán;kondeziran
condecirás;kondeziras
condeciré;kondezire
condeciste;kondesiste
condeció;kondesio
condecí;kondeci
condecía;kondecia
condecíamos;kondeciamos
condecían;kondecian
condecías;kondecias
condenación;kondanasion
condición;kondision
condolerseemos;kondolerseemos
condolerseá;kondolersea
condolerseán;kondolersean
condolerseás;kondolerseas
condolerseé;kondolersee
condolersieron;kondolersieron
condolersimos;kondolersimos
condolersiste;kondolersiste
condolersió;kondolersio
condolersí;kondolersi
condolersía;kondolersia
condolersíamos;kondolersiamos
condolersían;kondolersian
condolersías;kondolersias
conduce;konduse
conducen;kondusen
conduces;konduses
conducieron;kondusieron
conducimos;kondusimos
conducir;konduzir
conduciremos;konduziremos
conducirá;konduzira
conducirán;konduziran
conducirás;konduziras
conduciré;konduzire
conduciste;kondusiste
condució;kondusio
conduco;konduko
conducta;kondukta
conductor;konduktor 
conducí;konduci
conducía;konducia
conducíamos;konduciamos
conducían;konducian
conducías;konducias
conferieron;konferieron
conferimos;konferimos
conferiremos;konferiremos
conferirá;konferira
conferirán;konferiran
conferirás;konferiras
conferiré;konferire
conferiste;konferiste
conferió;konferio
conferí;konferi
confería;konferia
conferíamos;konferiamos
conferían;konferian
conferías;konferias
confesaieron;konfesaieron
confesaimos;konfesaimos
confesaiste;konfesaiste
confesaió;konfesaio
confesaremos;konfesaremos
confesará;konfesara
confesarán;konfesaran
confesarás;konfesaras
confesaré;konfesare
confesaí;konfesai
confesaía;konfesaia
confesaíamos;konfesaiamos
confesaían;konfesaian
confesaías;konfesaias
confia;konfia
confiaba;konfiaba
confiaban;konfiaban
confiabas;konfiabas
confiamos;konfiamos
confian;konfian
confianza;konfiensa
confiar;konfiar
confiaremos;konfiaremos
confiaron;konfiaron
confiará;konfiara
confiarán;konfiaran
confiarás;konfiaras
confiaré;konfiare
confias;konfias
confiaste;konfiaste
confidencia;konfidensia
confio;konfio
confiscaieron;konfiskaieron
confiscaimos;konfiskaimos
confiscaiste;konfiskaiste
confiscaió;konfiskaio
confiscaremos;konfiskaremos
confiscará;konfiskara
confiscarán;konfiskaran
confiscarás;konfiskaras
confiscaré;konfiskare
confiscaí;konfiskai
confiscaía;konfiskaia
confiscaíamos;konfiskaiamos
confiscaían;konfiskaian
confiscaías;konfiskaias
confiábamos;konfiabamos
confié;konfie
confió;konfio
confluieron;konfluieron
confluimos;konfluimos
confluiremos;konfluiremos
confluirá;konfluira
confluirán;konfluiran
confluirás;konfluiras
confluiré;konfluire
confluiste;konfluiste
confluió;konfluio
confluí;konflui
confluía;konfluia
confluíamos;konfluiamos
confluían;konfluian
confluías;konfluias
confundir;konfonder
confuso;konfuzo 
confín;punta
congelador;conjelador
congregaieron;kongregaieron
congregaimos;kongregaimos
congregaiste;kongregaiste
congregaió;kongregaio
congregaremos;kongregaremos
congregará;kongregara
congregarán;kongregaran
congregarás;kongregaras
congregaré;kongregare
congregaí;kongregai
congregaía;kongregaia
congregaíamos;kongregaiamos
congregaían;kongregaian
congregaías;kongregaias
congresa;kongresa
congreso;kongreso
conjugaieron;konjugaieron
conjugaimos;konjugaimos
conjugaiste;konjugaiste
conjugaió;konjugaio
conjugaremos;konjugaremos
conjugará;konjugara
conjugarán;konjugaran
conjugarás;konjugaras
conjugaré;konjugare
conjugaí;konjugai
conjugaía;konjugaia
conjugaíamos;konjugaiamos
conjugaían;konjugaian
conjugaías;konjugaias
conmigo;kon mi
conmoveremos;konmoveremos
conmoverá;konmovera
conmoverán;konmoveran
conmoverás;konmoveras
conmoveré;konmovere
conmovieron;konmovieron
conmovimos;konmovimos
conmoviste;konmoviste
conmovió;konmovio
conmoví;konmovi
conmovía;konmovia
conmovíamos;konmoviamos
conmovían;konmovian
conmovías;konmovias
conoce;konose
conocemos;konosemos
conocen;konosen
conocer;konoser
conoceremos;konoseremos
conocerá;konosera
conocerán;konoseran
conocerás;konoseras
conoceré;konosere
conoces;konoses
conoces;konoses
conocido;konosido
conocieron;konosieron
conocimos;konosimos
conociste;konosiste
conoció;konosio
conoco;konoko
conocí;konoci
conocía;konocia
conocíamos;konociamos
conocían;konocian
conocías;konocias
conozco;konosko
conquistar;konkuistar
consecuencia;konsekuensa
conseguieron;konsegieron
conseguimos;konsegimos
conseguiremos;konsegiremos
conseguirá;konsegira
conseguirán;konsegiran
conseguirás;konsegiras
conseguiré;konsegire
conseguiste;konsegiste
conseguió;konsegio
conseguí;konsegi
conseguía;konsegia
conseguíamos;konsegiamos
conseguían;konsegian
