he;e
funcionar;funsionar
generar;djenerar
gestionar;djestionar
girar;djirar
guardar;guadrar
guisar;gizar
gustar;plazer
habitar;abitar
habituar;abituar
hablar;avlar
hallar;topar
herir;ferir
hervir;buyir
huir;fuyir
humillar;arrebashar
hundir;undir
imaginar;imadjinar
impedir;empedir
imponer;forsar
inaugurar;inaugrar
inclinar;enklinar
incluir;inkluir
incorporar;inkorporar
incrementar;inkrementar
inflar;unflar
inhalar;inalar
iniciar;inisiar
inspeccionar;inspecsionar
intensificar;intensifikar
intercambiar;interkambiar
interponer;enkashar
introducir;introduzir
invertir;investir
inyectar;inyektar
irrigar;arrufyar
jactarse;jaktarse
jalear;enkorajar
jugar;djugar
jurar;djurar
lacrar;aharvar
lanzar;lansar
leer;meldar
legitimar;ledjitimar
levantar;alevantar
liquidar;likidar
llamar;yamar
llegar;ayegar
llenar;inchar
llevar;yevar
llorar;yorar
llover;azer luvya
lloviznar;yoviznar
luchar;lukar
lucir;briyar
manchar;mankar
maquillar;makiyar
maravillar;maraviyar
marchar;markar
mascar;mashkar
matricular;matrikular
medir;mesurar
mencionar;mensionar
merecer;mereser
mezclar;mesklar
montar;suvir
morir;murir
mover;meter en movimiento
nacer;naser
necesitar;nesesitar
negar;enyegar
negociar;negosiar
nevar;inyeve
obedecer;obeisar
obligar;ovligar
ocultar;okultar
ocupar;okupar
ocurrir;akonteser
ofrecer;ofrir
oler;goler
oponer;opozar
orar;orasionar
ordenar;odrenar
oscilar;ossilar
oxidar;oksidar
pacer;komer yerva
parecer;pareser
participar;partisipar
pastar;komer yerva
pedir;demandar
percibir;persibir
perder;pedrer
perdonar;pedronar
perfeccionar;perfecsionar
permanecer;kedar
pescar;peshkar
pillar;piyar
pinchar;pinkar
piropear;azer shakaruka
placer;plazer
planchar;plankar
plantear;estableser
poder;pueder
polucionar;polusionar
poner;meter
poseer;posedar
practicar;pratikar
preferir;preferar
preguntar;demandar
preocupar;preokupar
preparar;aparejar
presentar;prezentar
preservar;prezervar
proceder;proseder
procesar;prosesar
procurar;prokurar
producir;produzir
prolongar;prolungar
pronunciar;pronunsiar
proponer;propozar
proporcionar;proporsionar
proseguir;kontinuar
proyectar;proyektar
publicar;publikar
quedar;kedar
quemar;kemar
quitar;kitar
rallar;rayar
rasgar;arrazgar
reaccionar;reacsionar
recelar;reselar
recibir;resivir
reciclar;resiclar
recoger;tomar
reconquistar;rekonkistar
recopilar;rekopilar
recordar;akodrar
recorrer;rekorrer
recuperar;rekuperar
redactar;redaktar
reducir;enchikeser
reemplazar;meter en lugar de
refrigerar;refridjerar
regalar;arregalar
regar;arrufyar
registrar;redjistrar
regresar;tornar
regular;reglar
rehusar;refuzar
relacionar;relasionar
rellenar;inchir
rematar;arrematar
rendir;render
renovar;renovelar
renunciar;renunsiar
repetir;repetar
replicar;replikar
reprochar;reprokar
resolver;rezolver
restaurar;restorar
retratar;azer portreto
reventar;arreventar
revolver;aboltar
rezar;arrogar
robar;rovar
rodear;entornar
saciar;sasiar
sacudir;sakudir
salpicar;arrufiar
secar;sekar
seguir;siguir
seleccionar;selecsionar
sentar;asentar
sentir;asentir
senalar;senyalar
significar;sinyifikar
silbar;chuflar
socorrer;sokorrer
solicitar;solisitar
solucionar;solusionar
sospechar;sospekar
sonar;sonyar
subsanar;enderechar
subsistir;turar
suceder;suseder
sugerir;sugjerar
sujetar;aferrar
suponer;supozar
surcar;arar la mar
surgir;surjir
tardar;tadrar
taner;tanyer
temblar;tremblar
tercer;treser
terminar;eskapar
titubear;pedrer el ekilibro
trabajar;lavorar
traducir;traduizir
traer;truer
traicionar;traisionar
tranquilizar;trankilizar
tricotar;trikotar
tutear;tutuayar
unir;aunar
urdir;udrir
usar;uzar
utilizar;kullanear
vacilar;vasilar
vigilar;vidjilar
vincular;vinkular
vivir;bivir
volver;tornar
habia;avia
habias;avias
habia;avia
habiamos;aviamos
habiais;aviash
habian;avian
habre;avre
habras;avras
habra;avra
habremos;avremos
habreis;avresh
habran;avran
habria;avria
habrias;avrias
habria;avria
habriamos;avriamos
habriais;avriash
habrian;avrian
haya;ayga
hayas;aygas
haya;ayga
hayamos;aygamos
hayais;aygash
hayan;aygan
hubiera;uvyera
hubiese;uvyera
hubieras;uvyeras
hubieses;uvyeras
hubieramos;uvyeramos
hubiesemos;uvyeramos
hubierais;uvyerash
hubieseis;uvyerash
hubieran;uvyeran
hubieses;uvyeran
dar;dar
doy;do
das;das
da;da
damos;damos
dais;dash
dan;dan
daba;dava
dabas;davas
daba;dava
dabamos;davamos
dabais;davash
daban;davan
di;di
diste;dates
dio;dyo
dimos;dimos
disteis;datesh
dieron;dyeron
dare;va dar
daras;vas a dar
dara;va a dar
daremos;vamos a dar
dareis;vash a dar
daran;van a dar
daria;daria
darias;darias
daria;daria
dariamos;dariamos
dariais;dariash
darian;darian
dando;dando
dado;di/dates/dyo/dimos/datesh/dyeron/dado
de;de
des;des
de;de
demos;demos
deis;desh
den;den
diera;dyera
diese;dyera
dieras;dyeras
dieses;dyeras
diera;dyera
diese;dyera
dieramos;dyeramos
diesemos;dyeramos
dierais;dyerash
dieseis;dyerash
dieran;dyeran
diesen;dyeran
estar;estar
estoy;esto
estas;estas
esta;esta
estamos;estamos
estais;estash
estan;estan
estaba;estava
estabas;estavas
estabamos;estavamos
estabais;estavash
estaban;estavan
estuve;estuve
estuviste;estuvites
estuvo;estuvo
estuvimos;estuvimos
estuvisteis;estuvitesh
estuvieron;estuvyeron
estare;va estar
estaras;vas a estar 
estara;va a estar
estaremos;vamos a estar
estareis;vash a estar
estaran;van a estar
estaria;estaria
estarias;estarias
estaria;estaria
estariamos;estariamos
estariais;estariash
estarian;estarian
estando;estando
estado;estuve/estuvites/estuvo/estuvimos/estuvitesh/estuvyeron/estado
este;este
estes;estes
este;este
estemos;estemos
esteis;estesh
esten;esten
estuviera;estuvyera
estuviese;estuvyera
estuvieras;estuvyeras
estuvieses;estuvyeras
estuviera;estuvyera
estuviese;estuvyera
estuvieramos;estuvyeramos
estuviesemos;estuvyeramos
estuvierais;estuvyerash
estuvieseis;estuvyerash
estuvieran;estuvyeran
estuviesen;estuvyeran
haber;aver
hay;ay
habia;avia
hubo;uvo
habra;avra
habras;avras
habra;avra
habria;avria
hacer;azer
hago;ago
haces;azes
hace;aze
hacemos;azemos
haceis;azesh
hacen;azen
hacia;azia
hacias;azias
hacia;azia
haciamos;aziamos
haciais;aziash
hacian;azian
hice;ize
hiciste;izites
hizo;izo
hicimos;izimos
hicisteis;izitesh
hicieron;izyeron
hare;va hacer
haras;vas a hacer
hara;va a hacer
haremos;vamos a hacer
hareis;vash a hacer
haran;van a hacer
haria;azeria
harias;azerias
haria;areria
hariamos;azeriamos
hariais;azeriash
harian;azerian
haciendo;aziendo
hecho;ize/izites/izo/izimos/izitesh/izyeron/echo
haga;aga
hagas;agas
haga;aga
hagamos;agamos
hagais;agash
hagan;agan
hiciera;izyera
hiciese;izyera
hicieras;izyeras
hicieses;izyeras
hiciera;izyera
hiciese;izyera
hicieramos;izyeramos
hiciesemos;izyeramos
hicierais;izyerash
hicieseis;izyerash
hicieran;izyeran
hicieses;izyeran
deber;dever
debo;devo
debes;deves
debe;deve
debemos;devemos
debeis;devesh
deben;deven
debia;devia
debias;devias
debia;devias
debiamos;deviamos
debiais;deviash
debian;devian
debi;devi
debiste;devites
debio;devyo
debimos;devimos
debisteis;devitesh
debieron;devyeron
debere;va dever
deberas;vas a dever
debera;va a dever  
deberemos;vamos a dever
debereis;vash a dever
deberan;van a dever
deberia;devria
deberias;dvrias
deberia;devria
deberiamos;devamos
deberiais;devash
deberian;devan
debiendo;devyendo
debido;devi/devites/devyo/devimos/devitesh/devyeron/devido
deba;deva
debas;devas
deba;deva
debamos;devamos
debais;devash
deban;devan
debiera;devyera
debiese;devyera
debieras;devyeras
debieses;devyeras
debieramos;devyeramos
debiesemos;devyeramos
debierais;devyerash
debieseis;devyerash
debieran;devyeran
debiesen;devyeran
querer;kerer
quiero;kero
quieres;keres
quiere;kere
queremos;keremos
quereis;keresh
quieren;keren
queria;keria
querias;kerias
queria;keria
queriamos;keriamos
queriais;keriash
querian;kerian
quise;kije
quisiste;kijiste
quiso;kijo
quisimos;kijimos
quisisteis;kijitesh
quisieron;kijeron
querre;va kerer
querras;vas a kerer
querra;va a kerer
querremos;vamos a kerer
querreis;vash a kerer
querran;van a kerer
querria;kereria
querrias;kererias
querria;kereria
querriamos;kereriamos
querriais;kereriash
querrian;kererian
queriendo;keryendo
querido;kije/kijiste/kijo/kijimos/kijitesh/kijeron/kerido
quiera;kera
quieras;keras
queremos;keremos
querais;kerash
quieran;keran
quisiera;kijera
quisiese;kijera
quisieras;kijeras
quisieses;kijeras
quisieramos;kijeramos
quisiesemos;kijeramos
quisierais;kijerash
quisieseis;kijerash
quisieran;kijeran
quisiesen;kijeran
saber;saver
se;se
sabes;saves
sabe;save
sabemos;savemos
sabeis;savesh
saben;saven
sabia;savia
sabias;savias
sabia;savia
sabiamos;saviamos
sabiais;saviash
sabian;savian
supe;supe
supiste;supite
supo;supo
supimos;supimos
supisteis;supitesh
supieron;supyeron
sabre;va saver
sabras;vas a saver
sabra;va a saver
sabremos;vamos a saver
sabreis;vash a saver
sabran;van a saver
sabria;savria
sabrias;savrias
sabria;savria
sabriamos;savriamos
sabriais;savriash
sabrian;savrian
sabiendo;savyendo
sabido;supe/supiste/supo/supimos/supitesh/supyeron/savido
sepa;sepa
sepas;sepas
sepamos;sepamos
sepais;sepash
sepan;sepan
supiera;supyera
supiese;supyera
supieras;supyeras
supieses;supyeras
supieramos;supyeramos
supiesemos;supyeramos
supierais;supyerash
supieseis;supyerash
supieran;supyeran
supiesen;supyeran
ser;ser
esta;esta
soy;so
eres;sos
es;es
somos;semos
sois;sosh
son;son
era;era
eras;eras
eramos;eramos
erais;erash
eran;eran
fui;fui
fuiste;fuistes
fue;fue
fuimos;fuimos
fuisteis;fuitesh
fueron;fueron
sere;va ser
seras;vas a ser
sera;va a ser
seremos;vamos a ser
sereis;vash a ser
seran;van a ser
seria;seria
serias;serias
seria;seria
seriamos;seriamos
seriais;seriash
serian;serian
siendo;syendo
sido;fui/fuistes/fue/fuimos/fuitesh/fueron/sido
sea;sea
seas;seas
seamos;seamos
seais;seash
sean;sean
fuera;fuera
fuese;fuera
fueras;fueras
fueses;fueras
fueramos;fueramos
fuesemos;fueramos
fuerais;fuerash
fueseis;fuerash
fueran;fueran
fuesen;fueran
tener;tener
tengo;tengo
tienes;tyenes
tiene;tyene
tenemos;tenemos
teneis;tenesh
tienen;tyenen
tenia;tenia
tenias;tenias
tenia;tenia
teniamos;teniamos
teniais;teniash
tenian;tenian
tuve;tuve
tuviste;tuvites
tuvo;tuvo
tuvimos;tuvimos
tuvisteis;tuvitesh
tuvieron;tuvyeron
tendre;va tener
tendras;vas a tener
tendra;va a tener
tendremos;vamos a tener
tendreis;vash a tener
tendran;van a tener
tendria;tendria
tendrias;tendrias
tendria;tendria
tendriamos;tendriamos
tendriais;tendriash
tendria;tendrian
teniendo;tenyendo
tenido;tuve/tuvites/tuvo/tuvimos/tuvitesh/tuvyeron/tenido
tenga;tenga
tengas;tengas
tengamos;tengamos
tengais;tengash
tengan;tengan
tuviera;tuvyera
tuviese;tuvyera
tuvieras;tuvyeras
tuvieses;tuvyeras
tuvieramos;tuvyeramos
tuviesemos;tuvyeramos
tuvierais;tuvyerash
tuvieseis;tuvyerash
tuvieran;tuvyeran
tuviesen;tuvyeran
ver;ver
veo;veo
ves;ves
ve;ve
vemos;vemos
veis;vesh
ven;ven
veia;via
veias;vias
veia;via
veiamos;viamos
veiais;viash
veian;vian
vi;vi
viste;vites
vio;vido
vimos;vimos
visteis;vitesh
vieron;vyeron
vere;va ver
veras;vas a ver
vera;va a ver
veremos;vamos a ver
vereis;vash a ver
veran;van a  ver
veria;veria
verias;verias
veria;veria
veriamos;veriamos
veriais;veriash
verian;verian
viendo;vyendo
visto;vi/vide/vites/vido/vimos/vitesh/vyeron/visto
vea;veyga
veas;veygas
veamos;veygamos
veais;veygash
vean;veygan
viera;vyera
viese;vyera
vieras;vyeras
vieses;vyeras
vieramos;vyeramos
viesemos;vyeramos
vierais;vyerash
vieseis;vyerash
vieran;vyeran
viesen;vyeran
decir;dizir
decido;desido
digo;digo
dices;dizes
dice;dize
decimos;dizimos
decis;dizish
dicen;dizen
decia;dizia
decias;dizias
decia;dizia
deciamos;diziamos
deciais;diziash
decian;dizian
dije;dishe
dijiste;dishites
dijo;disho
dijimos;dishimos
dijisteis;dishitesh
dijeron;disheron
dire;va dizir
diras;vas a dizir
dira;va a dizir
diremos;vamos a dizir
direis;vash a dizir
diran;van a dizir
diria;diria
dirias;dirias
diria;diria
diriamos;diriamos
diriais;diriash
dirian;dirian
diciendo;dizyendo
dicho;dizi/dishites/disho/dishimos/dishitesh/disheron/dicho
diga;diga
digas;digas
digamos;digamos
digais;digash
digan;digan
dijera;dishera
dijese;dishera
dijeras;disheras
dijeses;disheras
dijeramos;disheramos
dijesemos;disheramos
dijerais;disherash
dijeseis;disherash
dijeran;disheran
dijesen;disheran
ir;ir
voy;vo
vas;vas
va;va
vamos;vamos
vais;vash
van;van
iba;iva
ibas;ivas
iba;iva
ibamos;ivamos
ibais;ivash
iban;ivan
fui;fui
fuiste;fuites
fuera;fue
fuimos;fuimos
fuisteis;fuitesh
fueron;fueron
ire;va ir
iras;vas a ir
ira;va a ir
iremos;vamos a ir
ireis;vash a ir
iran;van a ir
iria;iria
irias;irias
iria;iria
iriamos;iriamos
iriais;iriash
irian;irian
yendo;indo
ido;fui/fuites/fue/fuimos/fuitesh/fueron/ido
vaya;vayga
vayas;vaygas
vayamos;vaygamos
vayais;vaygash
vayan;vaygan
venir;vinir
vengo;vengo
vienes;vyenes
viene;vyene
venimos;vinimos
venis;vinish
vienen;vyenen
venia;venia
venias;venias
veniamos;veniamos
veniais;veniash
venian;venian
vine;vine
viniste;vinites
vino;vino
vinimos;vinimos
vinisteis;vinitesh
vinieron;vinyeron
vendre;va vinir
vendras;vas a vinir 
vendra;va a venir
vendremos;vamos a venir
vendreis;vash a venir
vendran;van a venir
vendria;vendria
vendrias;vendrias
vendriamos;vendriamos
vendriais;vendrash
viniendo;vinyendo
venido;vini/vinites/vino/vinimos/vinitesh/vinyeron/vinido
vengan;venga
vengas;vengas
vengamos;vengamos
vengais;vengash
vengan;vengan
viniera;vinyera
viniese;vinyera
vinieras;vinyeras
vinieses;vinyeras
vinieramos;vinyeramos
viniesemos;vinyeramos
vinierais;vinyerash
vinieseis;vinyerash
vinieran;vinyeran
viniesen;vinyeran
compras;merkaras
supongo;supozo
propone;propoze
pierde;pedra
agradezco;agradesko
estudie;estudye
comamos;komamos
venid;veni
leendo;meldando
convidada;kombidada
estudiado;estudyado
mirais;mirash
ois;oyish
creendo;kreyendo
